iter	Passed	Remaining
0	12	25428
1	23	23598
2	39	26106
3	51	25652
4	67	26776
5	77	25738
6	86	24658
7	96	24145
8	109	24156
9	119	23682
10	129	23451
11	138	22996
12	148	22623
13	157	22393
14	167	22141
15	177	22053
16	185	21694
17	194	21377
18	202	21136
19	211	20922
20	219	20714
21	228	20536
22	245	21144
23	258	21245
24	267	21129
25	276	20964
26	284	20775
27	293	20639
28	301	20478
29	309	20324
30	317	20162
31	325	20039
32	333	19907
33	344	19930
34	353	19826
35	361	19729
36	369	19605
37	377	19481
38	385	19375
39	393	19304
40	402	19226
41	410	19120
42	418	19025
43	425	18931
44	434	18875
45	443	18832
46	451	18773
47	460	18712
48	467	18625
49	476	18568
50	484	18515
51	493	18498
52	502	18447
53	510	18406
54	519	18354
55	527	18319
56	536	18283
57	549	18396
58	562	18496
59	575	18601
60	584	18574
61	596	18643
62	608	18702
63	617	18667
64	628	18706
65	637	18685
66	646	18662
67	658	18713
68	666	18645
69	677	18686
70	687	18679
71	695	18631
72	707	18677
73	715	18609
74	726	18656
75	739	18718
76	747	18674
77	766	18876
78	777	18909
79	788	18921
80	797	18890
81	808	18906
82	818	18908
83	829	18916
84	841	18963
85	853	18988
86	862	18966
87	875	19016
88	887	19050
89	896	19019
90	906	19023
91	916	19012
92	924	18962
93	936	18983
94	943	18921
95	954	18939
96	963	18895
97	973	18893
98	985	18928
99	995	18906
100	1005	18914
101	1018	18945
102	1027	18923
103	1041	18978
104	1053	19010
105	1066	19052
106	1074	19016
107	1087	19047
108	1095	19002
109	1104	18982
110	1114	18968
111	1123	18937
112	1132	18915
113	1141	18891
114	1152	18888
115	1162	18879
116	1171	18846
117	1183	18877
118	1193	18861
119	1202	18835
120	1212	18831
121	1226	18876
122	1235	18858
123	1247	18866
124	1259	18885
125	1285	19118
126	1305	19254
127	1315	19244
128	1326	19243
129	1338	19254
130	1350	19261
131	1363	19301
132	1378	19354
133	1391	19377
134	1406	19435
135	1422	19500
136	1432	19480
137	1444	19484
138	1453	19466
139	1463	19446
140	1473	19429
141	1483	19408
142	1494	19404
143	1507	19428
144	1518	19424
145	1529	19427
146	1545	19487
147	1556	19480
148	1569	19494
149	1580	19493
150	1591	19484
151	1601	19468
152	1610	19436
153	1619	19414
154	1629	19393
155	1639	19375
156	1648	19357
157	1662	19378
158	1672	19366
159	1682	19353
160	1691	19325
161	1701	19309
162	1711	19284
163	1719	19253
164	1730	19247
165	1740	19225
166	1751	19220
167	1760	19203
