date,temperature_max,temperature_min,temperature_mean,apparent_temp_max,apparent_temp_min,apparent_temp_mean,precipitation,rain,snowfall,precipitation_hours,weather_code,wind_speed_max,wind_gusts_max,wind_direction,sunshine_duration,daylight_duration,is_rainy,is_snowy,is_windy,is_nice_weather,sunshine_ratio
2016-01-01,2.0,-2.8,-0.1,-1.3,-6.3,-3.4,0.0,0.0,0.0,0.0,3,10.9,24.5,257,22726.2,29520.98,0,0,0,0,0.7698321668183102
2016-01-02,1.6,-3.2,-0.9,-3.0,-7.2,-5.2,0.0,0.0,0.0,0.0,3,17.3,34.9,92,1671.96,29585.67,0,0,0,0,0.05651249405539912
2016-01-03,-2.1,-5.0,-3.4,-7.0,-10.0,-8.4,0.0,0.0,0.0,0.0,3,14.5,28.4,97,20313.12,29655.9,0,0,0,0,0.6849604968994365
2016-01-04,-2.7,-5.4,-4.1,-5.8,-10.6,-8.3,3.9,0.0,3.01,12.0,73,14.6,28.8,93,0.0,29731.51,1,1,0,0,0.0
2016-01-05,3.5,-2.2,0.3,0.2,-5.7,-3.1,3.2,1.8,1.05,10.0,73,11.5,19.4,216,19871.06,29812.34,1,1,0,0,0.6665380845649822
2016-01-06,3.1,-2.4,-0.1,0.4,-6.2,-3.3,1.7,0.5,0.91,9.0,71,8.8,20.5,210,11912.25,29898.24,1,0,0,0,0.3984264625610069
2016-01-07,3.2,-1.7,0.6,-0.1,-4.8,-2.6,1.0,0.4,0.49,3.0,73,12.4,27.0,152,14422.25,29989.06,0,0,0,0,0.4809170410809808
2016-01-08,3.8,-1.6,2.2,-1.2,-5.6,-2.3,0.2,0.2,0.0,1.0,51,25.0,47.5,245,24303.58,30084.62,0,0,0,0,0.8078406840438737
2016-01-09,3.5,-1.2,0.7,0.9,-4.2,-2.0,0.0,0.0,0.0,0.0,3,5.0,11.2,75,4831.78,30184.79,0,0,0,0,0.160073334947833
2016-01-10,7.3,-1.2,2.5,3.6,-4.5,-0.6,2.0,2.0,0.0,8.0,51,16.0,24.8,198,6342.62,30289.38,1,0,0,0,0.20940078667836712
2016-01-11,4.2,1.2,2.7,0.7,-3.0,-0.6,5.1,4.2,0.63,14.0,73,19.5,35.3,212,0.0,30398.26,1,0,0,0,0.0
2016-01-12,4.9,1.4,3.2,0.4,-3.5,-1.7,2.0,1.6,0.28,10.0,71,25.3,47.9,248,18950.49,30511.27,1,0,0,0,0.6210980401667974
2016-01-13,3.6,0.9,2.2,-2.1,-4.3,-3.2,2.7,1.4,0.91,10.0,73,34.2,69.5,259,7012.1,30628.23,1,0,1,0,0.22894238419915225
2016-01-14,2.5,-1.8,0.4,-1.2,-5.1,-3.5,0.8,0.1,0.56,4.0,71,16.9,33.1,226,22330.33,30749.02,0,0,0,0,0.7262127378368481
2016-01-15,1.4,-1.6,0.2,-3.8,-5.2,-4.5,2.4,0.0,1.89,13.0,73,21.0,47.2,244,17414.28,30873.68,1,1,0,0,0.5640493779815039
2016-01-16,-0.1,-3.9,-1.7,-4.0,-8.5,-5.8,0.7,0.0,0.63,3.0,73,11.9,23.8,288,23320.53,31003.6,0,0,0,0,0.7521878104478189
2016-01-17,-1.3,-5.2,-2.9,-6.0,-9.2,-7.3,2.0,0.0,1.54,14.0,71,15.8,31.7,313,6910.86,31138.8,1,1,0,0,0.22193726155150487
2016-01-18,-2.8,-6.6,-5.0,-6.5,-10.7,-8.8,0.0,0.0,0.0,0.0,3,8.5,12.6,16,17483.34,31279.0,0,0,0,0,0.5589481760925861
2016-01-19,-5.4,-9.9,-7.3,-8.9,-13.9,-11.1,0.0,0.0,0.0,0.0,3,6.7,15.5,120,24901.96,31423.93,0,0,0,0,0.7924521216792425
2016-01-20,-2.7,-14.8,-7.5,-7.7,-20.2,-12.7,0.0,0.0,0.35,0.0,71,17.9,33.8,253,19234.59,31573.29,0,0,0,0,0.6092044889842015
2016-01-21,-2.4,-8.1,-4.5,-5.9,-11.9,-8.3,0.0,0.0,0.0,0.0,3,11.2,25.9,310,25486.2,31726.84,0,0,0,0,0.8033009275427367
2016-01-22,-5.0,-12.9,-9.6,-8.8,-16.8,-13.6,0.0,0.0,0.0,0.0,3,9.2,14.0,84,21648.86,31884.29,0,0,0,0,0.6789820315898519
2016-01-23,2.8,-12.4,-3.0,-2.0,-16.4,-7.6,3.0,0.0,2.24,5.0,75,22.0,43.6,255,242.66,32045.4,1,1,0,0,0.007572381683486553
2016-01-24,2.5,0.1,1.5,-1.2,-4.1,-2.3,0.0,0.0,0.0,0.0,3,14.3,29.5,246,10800.0,32209.9,0,0,0,0,0.33530063738167454
2016-01-25,5.2,2.5,3.7,1.9,-1.7,0.2,3.3,3.3,0.0,10.0,53,16.5,32.0,248,478.56,32377.54,1,0,0,0,0.014780616439667745
2016-01-26,9.1,2.6,5.0,6.1,-1.6,1.3,0.0,0.0,0.0,0.0,3,18.1,34.6,235,23436.33,32548.08,0,0,0,0,0.720052611398276
2016-01-27,10.4,5.1,7.5,6.4,0.5,3.1,0.0,0.0,0.0,0.0,3,21.4,41.8,235,25110.32,32721.28,0,0,0,0,0.7674002972988831
2016-01-28,9.5,0.9,6.8,6.3,-2.2,3.0,0.3,0.3,0.0,2.0,51,24.5,45.0,246,2878.54,32896.89,0,0,0,0,0.08750188847638789
2016-01-29,5.9,-0.4,3.1,0.6,-3.5,-1.3,0.0,0.0,0.0,0.0,3,22.9,43.9,237,24414.07,33074.71,0,0,0,0,0.7381491780275624
2016-01-30,8.0,2.9,5.4,2.4,-2.3,-0.1,5.3,5.3,0.0,5.0,61,30.0,61.2,232,23601.24,33254.49,1,0,0,0,0.7097158909969752
2016-01-31,4.8,1.3,3.2,-0.2,-3.5,-1.6,1.8,1.8,0.0,6.0,53,29.5,52.9,248,17561.47,33436.02,1,0,0,0,0.5252260885117308
2016-02-01,10.0,3.7,8.6,6.5,-0.7,4.2,3.4,3.4,0.0,10.0,51,30.9,60.5,260,0.0,33619.1,1,0,1,0,0.0
2016-02-02,10.5,7.3,8.8,5.8,2.2,3.8,0.0,0.0,0.0,0.0,3,28.6,60.1,242,6181.57,33803.51,0,0,0,0,0.18286769628361077
2016-02-03,8.9,1.0,4.5,4.1,-3.9,0.1,0.7,0.7,0.0,4.0,51,23.7,56.9,262,607.82,33989.05,0,0,0,0,0.017882818142901904
2016-02-04,3.5,0.3,1.7,-1.8,-4.7,-3.2,1.6,0.4,0.84,8.0,73,23.6,51.1,259,10179.96,34175.8,1,0,0,0,0.29787042293084576
2016-02-05,4.6,0.4,2.3,1.3,-3.7,-1.8,0.0,0.0,0.0,0.0,3,16.0,33.8,258,16629.2,34365.61,0,0,0,0,0.48389072680508216
2016-02-06,11.6,-1.0,4.2,8.4,-4.2,1.1,0.0,0.0,0.0,0.0,3,13.8,24.1,192,28695.6,34558.61,0,0,0,0,0.8303458964350707
2016-02-07,11.1,-2.0,3.4,8.3,-5.5,0.2,0.0,0.0,0.0,0.0,3,16.7,32.8,80,29876.34,34754.55,0,0,0,0,0.8596382344182272
2016-02-08,11.2,3.2,6.6,5.6,-1.7,1.5,4.9,4.9,0.0,8.0,61,30.1,74.2,214,25050.22,34953.19,1,0,1,0,0.7166790785047087
2016-02-09,9.4,4.8,7.0,5.9,-0.6,2.4,1.2,1.2,0.0,4.0,51,28.2,52.9,217,10509.66,35154.3,1,0,0,0,0.2989580222049649
2016-02-10,6.6,1.7,3.5,1.5,-3.4,-1.5,0.7,0.5,0.21,4.0,71,25.6,50.4,260,20208.14,35357.62,0,0,0,0,0.5715356406907478
2016-02-11,5.2,0.2,2.4,0.2,-3.4,-2.2,0.2,0.2,0.14,2.0,71,20.0,45.7,253,26900.72,35562.95,0,0,0,0,0.7564254371473683
2016-02-12,5.6,-1.5,1.8,2.5,-5.2,-1.5,0.2,0.2,0.0,2.0,51,9.9,23.8,169,28272.67,35770.05,0,0,0,0,0.7904006284587244
2016-02-13,5.1,-2.6,1.3,1.9,-6.5,-2.1,0.1,0.1,0.0,1.0,51,10.0,20.2,110,5684.54,35978.7,0,0,0,0,0.15799737066653327
2016-02-14,10.5,0.8,5.6,7.9,-2.9,2.1,2.3,2.3,0.0,8.0,51,21.7,38.2,226,25200.0,36188.71,1,0,0,0,0.6963497731751146
2016-02-15,7.2,2.0,4.4,4.3,-1.2,1.4,0.1,0.1,0.0,1.0,51,11.7,23.4,313,24464.3,36399.86,0,0,0,0,0.6720987388413032
2016-02-16,2.8,0.1,1.4,-1.6,-4.5,-2.8,0.0,0.0,0.0,0.0,3,16.4,32.8,35,4583.39,36611.95,0,0,0,0,0.12518836063088692
2016-02-17,3.5,-1.4,0.8,0.0,-6.9,-3.7,2.4,0.6,1.4,7.0,73,22.7,47.9,69,482.5,36824.78,1,1,0,0,0.01310259015804032
2016-02-18,6.3,-4.2,1.1,4.1,-7.6,-2.0,0.0,0.0,0.0,0.0,3,9.7,20.5,175,32295.14,37038.17,0,0,0,0,0.871942107290938
2016-02-19,6.0,0.1,2.6,1.6,-3.1,-1.1,0.0,0.0,0.0,0.0,3,15.3,34.9,269,20066.69,37251.93,0,0,0,0,0.5386751773666492
2016-02-20,4.4,0.2,2.1,-1.9,-4.8,-3.2,6.5,5.0,1.05,11.0,73,29.5,58.0,232,14710.93,37465.86,1,1,0,0,0.39264893425641373
2016-02-21,10.4,4.3,8.6,5.7,-0.8,3.8,2.9,2.9,0.0,12.0,53,30.4,60.1,252,0.0,37679.81,1,0,1,0,0.0
2016-02-22,11.6,7.2,9.1,6.3,1.6,3.9,0.0,0.0,0.0,0.0,3,31.5,63.0,252,29501.6,37893.57,0,0,1,0,0.778538416939866
2016-02-23,8.2,0.4,4.0,5.1,-3.8,0.6,8.8,5.7,2.17,16.0,73,22.4,45.7,291,0.0,38107.0,1,1,0,0,0.0
2016-02-24,4.9,-1.0,1.8,0.2,-4.5,-2.4,0.8,0.7,0.07,5.0,71,15.8,33.5,261,31616.63,38320.18,0,0,0,0,0.8250647570027072
2016-02-25,4.8,-2.7,0.7,0.8,-6.9,-2.8,0.0,0.0,0.0,0.0,3,9.4,23.0,316,32400.0,38534.89,0,0,0,0,0.8407964833946587
