date,day_of_week,school_visitors,public_visitors,total_visitors,extra,is_weekend,is_holiday,nazvy_svatek,is_spring_break,is_autumn_break,is_winter_break,is_easter_break,is_halfyear_break,is_summer_holiday,is_any_school_break,school_break_type,days_to_next_break,days_from_last_break,is_week_before_break,is_week_after_break,season_exact,week_position,is_month_end,school_week_number,is_bridge_day,long_weekend_length,precipitation_probability,temperature_max,temperature_min,temperature_mean,precipitation,rain,snowfall,precipitation_hours,weather_code,wind_speed,wind_gusts_max,is_rainy,is_snowy,is_windy,is_nice_weather,google_trend,Mateřská_škola,Střední_škola,Základní_škola,is_event
2016-01-01,pátek,0.0,0.0,0.0,,0,1,Nový rok / Den obnovy samostatného českého státu,0.0,0.0,1.0,0.0,0.0,0.0,1.0,vanocni,0.0,0.0,1.0,1.0,winter,first_week,0.0,18.0,0.0,3.0,,2.0,-2.8,-0.1,0.0,0.0,0.0,0.0,3,10.9,24.5,0,0,0,0,25,19399.0,21749.0,47924.0,0
2016-01-02,sobota,0.0,943.0,943.0,,1,0,0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,vanocni,0.0,0.0,1.0,1.0,winter,first_week,0.0,18.0,0.0,3.0,,1.6,-3.2,-0.9,0.0,0.0,0.0,0.0,3,17.3,34.9,0,0,0,0,25,19399.0,21749.0,47924.0,0
2016-01-03,neděle,0.0,559.0,559.0,,1,0,0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,vanocni,0.0,0.0,1.0,1.0,winter,first_week,0.0,18.0,0.0,3.0,,-2.1,-5.0,-3.4,0.0,0.0,0.0,0.0,3,14.5,28.4,0,0,0,0,25,19399.0,21749.0,47924.0,0
2016-01-04,pondělí,0.0,78.0,78.0,,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,25.0,1.0,0.0,1.0,winter,first_week,0.0,18.0,0.0,0.0,,-2.7,-5.4,-4.1,3.9,0.0,3.01,12.0,73,14.6,28.8,1,1,0,0,25,19399.0,21749.0,47924.0,0
2016-01-05,úterý,91.0,94.0,185.0,,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,24.0,2.0,0.0,1.0,winter,first_week,0.0,19.0,0.0,0.0,,3.5,-2.2,0.3,3.2,1.8,1.05,10.0,73,11.5,19.4,1,1,0,0,25,19399.0,21749.0,47924.0,0
2016-01-06,středa,0.0,124.0,124.0,,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,23.0,3.0,0.0,1.0,winter,first_week,0.0,19.0,0.0,0.0,,3.1,-2.4,-0.1,1.7,0.5,0.91,9.0,71,8.8,20.5,1,0,0,0,25,19399.0,21749.0,47924.0,0
2016-01-07,čtvrtek,42.0,69.0,111.0,,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,22.0,4.0,0.0,1.0,winter,first_week,0.0,19.0,0.0,0.0,,3.2,-1.7,0.6,1.0,0.4,0.49,3.0,73,12.4,27.0,0,0,0,0,25,19399.0,21749.0,47924.0,0
2016-01-08,pátek,0.0,73.0,73.0,,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,21.0,5.0,0.0,1.0,winter,second_week,0.0,19.0,0.0,0.0,,3.8,-1.6,2.2,0.2,0.2,0.0,1.0,51,25.0,47.5,0,0,0,0,25,19399.0,21749.0,47924.0,0
2016-01-09,sobota,0.0,861.0,861.0,,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,20.0,6.0,0.0,1.0,winter,second_week,0.0,19.0,0.0,2.0,,3.5,-1.2,0.7,0.0,0.0,0.0,0.0,3,5.0,11.2,0,0,0,0,25,19399.0,21749.0,47924.0,0
2016-01-10,neděle,0.0,553.0,553.0,,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,19.0,7.0,0.0,1.0,winter,second_week,0.0,19.0,0.0,2.0,,7.3,-1.2,2.5,2.0,2.0,0.0,8.0,51,16.0,24.8,1,0,0,0,25,19399.0,21749.0,47924.0,0
2016-01-11,pondělí,22.0,94.0,116.0,,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,18.0,8.0,0.0,0.0,winter,second_week,0.0,19.0,0.0,0.0,,4.2,1.2,2.7,5.1,4.2,0.63,14.0,73,19.5,35.3,1,0,0,0,25,19399.0,21749.0,47924.0,0
2016-01-12,úterý,171.0,150.0,321.0,,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,17.0,9.0,0.0,0.0,winter,second_week,0.0,20.0,0.0,0.0,,4.9,1.4,3.2,2.0,1.6,0.28,10.0,71,25.3,47.9,1,0,0,0,25,19399.0,21749.0,47924.0,0
2016-01-13,středa,25.0,122.0,147.0,,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,16.0,10.0,0.0,0.0,winter,second_week,0.0,20.0,0.0,0.0,,3.6,0.9,2.2,2.7,1.4,0.91,10.0,73,34.2,69.5,1,0,1,0,25,19399.0,21749.0,47924.0,0
2016-01-14,čtvrtek,54.0,103.0,157.0,,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,15.0,11.0,0.0,0.0,winter,second_week,0.0,20.0,0.0,0.0,,2.5,-1.8,0.4,0.8,0.1,0.56,4.0,71,16.9,33.1,0,0,0,0,25,19399.0,21749.0,47924.0,0
2016-01-15,pátek,99.0,110.0,209.0,,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,14.0,12.0,0.0,0.0,winter,third_week,0.0,20.0,0.0,0.0,,1.4,-1.6,0.2,2.4,0.0,1.89,13.0,73,21.0,47.2,1,1,0,0,25,19399.0,21749.0,47924.0,0
2016-01-16,sobota,0.0,661.0,661.0,,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,13.0,13.0,0.0,0.0,winter,third_week,0.0,20.0,0.0,2.0,,-0.1,-3.9,-1.7,0.7,0.0,0.63,3.0,73,11.9,23.8,0,0,0,0,25,19399.0,21749.0,47924.0,0
2016-01-17,neděle,0.0,338.0,338.0,,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,12.0,14.0,0.0,0.0,winter,third_week,0.0,20.0,0.0,2.0,,-1.3,-5.2,-2.9,2.0,0.0,1.54,14.0,71,15.8,31.7,1,1,0,0,25,19399.0,21749.0,47924.0,0
2016-01-18,pondělí,0.0,70.0,70.0,,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,11.0,15.0,0.0,0.0,winter,third_week,0.0,20.0,0.0,0.0,,-2.8,-6.6,-5.0,0.0,0.0,0.0,0.0,3,8.5,12.6,0,0,0,0,25,19399.0,21749.0,47924.0,0
2016-01-19,úterý,81.0,109.0,190.0,,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,10.0,16.0,0.0,0.0,winter,third_week,0.0,21.0,0.0,0.0,,-5.4,-9.9,-7.3,0.0,0.0,0.0,0.0,3,6.7,15.5,0,0,0,0,25,19399.0,21749.0,47924.0,0
2016-01-20,středa,105.0,131.0,236.0,,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,9.0,17.0,0.0,0.0,winter,third_week,0.0,21.0,0.0,0.0,,-2.7,-14.8,-7.5,0.0,0.0,0.35,0.0,71,17.9,33.8,0,0,0,0,25,19399.0,21749.0,47924.0,0
2016-01-21,čtvrtek,98.0,182.0,280.0,,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,8.0,18.0,0.0,0.0,winter,third_week,0.0,21.0,0.0,0.0,,-2.4,-8.1,-4.5,0.0,0.0,0.0,0.0,3,11.2,25.9,0,0,0,0,25,19399.0,21749.0,47924.0,0
2016-01-22,pátek,43.0,98.0,141.0,,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,7.0,19.0,1.0,0.0,winter,last_week,0.0,21.0,0.0,0.0,,-5.0,-12.9,-9.6,0.0,0.0,0.0,0.0,3,9.2,14.0,0,0,0,0,25,19399.0,21749.0,47924.0,0
2016-01-23,sobota,11.0,452.0,463.0,,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,6.0,20.0,1.0,0.0,winter,last_week,0.0,21.0,0.0,2.0,,2.8,-12.4,-3.0,3.0,0.0,2.24,5.0,75,22.0,43.6,1,1,0,0,25,19399.0,21749.0,47924.0,0
2016-01-24,neděle,0.0,471.0,471.0,,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,5.0,21.0,1.0,0.0,winter,last_week,0.0,21.0,0.0,2.0,,2.5,0.1,1.5,0.0,0.0,0.0,0.0,3,14.3,29.5,0,0,0,0,25,19399.0,21749.0,47924.0,0
2016-01-25,pondělí,120.0,185.0,305.0,,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,4.0,22.0,1.0,0.0,winter,last_week,0.0,21.0,0.0,0.0,,5.2,2.5,3.7,3.3,3.3,0.0,10.0,53,16.5,32.0,1,0,0,0,25,19399.0,21749.0,47924.0,0
2016-01-26,úterý,173.0,110.0,283.0,,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,3.0,23.0,1.0,0.0,winter,last_week,0.0,22.0,0.0,0.0,,9.1,2.6,5.0,0.0,0.0,0.0,0.0,3,18.1,34.6,0,0,0,0,25,19399.0,21749.0,47924.0,0
2016-01-27,středa,142.0,123.0,265.0,,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2.0,24.0,1.0,0.0,winter,last_week,0.0,22.0,0.0,0.0,,10.4,5.1,7.5,0.0,0.0,0.0,0.0,3,21.4,41.8,0,0,0,0,25,19399.0,21749.0,47924.0,0
2016-01-28,čtvrtek,34.0,287.0,321.0,,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,25.0,1.0,0.0,winter,last_week,0.0,22.0,0.0,0.0,,9.5,0.9,6.8,0.3,0.3,0.0,2.0,51,24.5,45.0,0,0,0,0,25,19399.0,21749.0,47924.0,0
2016-01-29,pátek,40.0,116.0,156.0,,0,0,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,pololetni,0.0,0.0,1.0,1.0,winter,last_week,1.0,22.0,0.0,0.0,,5.9,-0.4,3.1,0.0,0.0,0.0,0.0,3,22.9,43.9,0,0,0,0,25,19399.0,21749.0,47924.0,0
2016-01-30,sobota,0.0,488.0,488.0,,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,16.0,1.0,0.0,1.0,winter,last_week,1.0,22.0,0.0,2.0,,8.0,2.9,5.4,5.3,5.3,0.0,5.0,61,30.0,61.2,1,0,0,0,25,19399.0,21749.0,47924.0,0
2016-01-31,neděle,0.0,929.0,929.0,,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,15.0,2.0,0.0,1.0,winter,last_week,1.0,22.0,0.0,2.0,,4.8,1.3,3.2,1.8,1.8,0.0,6.0,53,29.5,52.9,1,0,0,0,25,19399.0,21749.0,47924.0,0
2016-02-01,pondělí,0.0,589.0,589.0,,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,14.0,3.0,0.0,1.0,winter,first_week,0.0,22.0,0.0,0.0,,10.0,3.7,8.6,3.4,3.4,0.0,10.0,51,30.9,60.5,1,0,1,0,50,19399.0,21749.0,47924.0,0
2016-02-02,úterý,178.0,745.0,923.0,,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,13.0,4.0,0.0,1.0,winter,first_week,0.0,23.0,0.0,0.0,,10.5,7.3,8.8,0.0,0.0,0.0,0.0,3,28.6,60.1,0,0,0,0,50,19399.0,21749.0,47924.0,0
2016-02-03,středa,86.0,798.0,884.0,,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,12.0,5.0,0.0,1.0,winter,first_week,0.0,23.0,0.0,0.0,,8.9,1.0,4.5,0.7,0.7,0.0,4.0,51,23.7,56.9,0,0,0,0,50,19399.0,21749.0,47924.0,0
2016-02-04,čtvrtek,0.0,783.0,783.0,,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,11.0,6.0,0.0,1.0,winter,first_week,0.0,23.0,0.0,0.0,,3.5,0.3,1.7,1.6,0.4,0.84,8.0,73,23.6,51.1,1,0,0,0,50,19399.0,21749.0,47924.0,0
