iter	MAE
0	429.9845181
1	424.1983474
2	418.2883356
3	412.7868002
4	407.4746571
5	402.1942443
6	397.1975938
7	392.402012
8	388.1513433
9	384.0864342
10	379.7384396
11	374.9336945
12	370.9911103
13	366.9462747
14	363.2385735
15	359.591288
16	355.7082343
17	352.2218141
18	349.0919913
19	345.1321333
20	342.1725531
21	339.0515961
22	335.8736909
23	332.703682
24	329.7038406
25	327.1508669
26	324.7045252
27	322.2001653
28	319.7055517
29	317.3570092
30	315.1627128
31	312.7443232
32	310.8674717
33	309.0589714
34	307.1539763
35	305.2865489
36	303.8426211
37	301.93415
38	300.3037227
39	298.2832958
40	296.149203
41	294.7060039
42	293.0624827
43	291.2399553
44	289.689399
45	288.2302634
46	286.7520865
47	285.3276504
48	283.7853037
49	282.3557802
50	281.2392707
51	279.6673866
52	278.2062627
53	276.6306206
54	275.5154156
55	274.0425874
56	272.733618
57	271.8737537
58	270.7241714
59	269.6934551
60	269.0317953
61	267.881805
62	266.6599998
63	265.6893619
64	264.5599323
65	263.277557
66	262.4190415
67	261.6637247
68	260.8270085
69	259.7457681
70	258.817834
71	258.0012118
72	257.3193163
73	256.8840851
74	256.2912535
75	255.258315
76	254.4375668
77	253.8603272
78	253.1363906
79	252.297233
80	251.608134
81	250.6838659
82	249.9989614
83	249.1812187
84	248.3601405
85	247.7353426
86	246.7978822
87	246.4894097
88	245.6488154
89	244.877828
90	244.3780745
91	243.7235799
92	243.0111372
93	242.1385791
94	241.5197106
95	241.0088717
96	240.3565734
97	239.482105
98	239.0822738
99	238.580363
100	238.1821512
101	237.5991944
102	236.9890775
103	236.3334571
104	235.4573621
105	234.8815717
106	234.1759277
107	233.5073341
108	233.2663589
109	232.3957544
110	232.0620634
111	231.7575501
112	231.3333112
113	230.6851831
114	230.4430884
115	229.8223056
116	229.372062
117	228.7944897
118	228.4999449
119	228.0732517
120	227.5686628
121	227.1904069
122	226.9207733
123	226.5446914
124	226.0711018
125	225.642084
