iter	Passed	Remaining
0	184	368956
1	198	198741
2	214	142746
3	229	114648
4	241	96457
5	256	85283
6	268	76584
7	281	70065
8	294	65063
9	307	61102
10	319	57739
11	333	55275
12	345	52796
13	358	50915
14	372	49264
15	385	47834
16	398	46454
17	410	45163
18	424	44212
19	438	43422
20	452	42667
21	467	42004
22	479	41215
23	491	40430
24	502	39691
25	515	39133
26	526	38469
27	537	37855
28	549	37328
29	560	36830
30	572	36341
31	584	35969
32	596	35534
33	608	35180
34	619	34806
35	631	34433
36	642	34097
37	653	33752
38	665	33458
39	676	33149
40	687	32861
41	698	32570
42	709	32285
43	720	32041
44	732	31809
45	744	31605
46	755	31411
47	767	31228
48	779	31029
49	793	30928
50	805	30794
51	819	30704
52	836	30731
53	850	30642
54	867	30667
55	880	30562
56	895	30511
57	911	30511
58	926	30464
59	943	30500
60	959	30493
61	973	30423
62	985	30304
63	998	30218
64	1012	30153
65	1026	30085
66	1040	30029
67	1054	29953
68	1069	29943
69	1085	29925
70	1100	29890
71	1113	29818
72	1129	29808
73	1143	29755
74	1161	29802
75	1173	29719
76	1185	29605
77	1201	29594
78	1216	29584
79	1231	29567
80	1249	29612
81	1265	29604
82	1282	29617
83	1296	29576
84	1309	29504
85	1325	29493
86	1337	29398
87	1348	29306
88	1373	29487
89	1385	29397
90	1396	29289
91	1407	29195
92	1419	29101
93	1430	29005
94	1441	28902
95	1451	28797
96	1468	28818
97	1480	28730
98	1491	28635
99	1502	28552
100	1513	28455
101	1524	28374
102	1537	28311
103	1553	28326
104	1567	28290
105	1580	28245
106	1592	28173
107	1604	28112
108	1616	28041
109	1628	27982
110	1643	27961
111	1657	27939
112	1672	27926
113	1684	27874
114	1701	27892
115	1717	27895
116	1732	27885
117	1748	27884
118	1763	27871
119	1775	27811
120	1790	27801
121	1803	27755
122	1816	27717
123	1830	27693
124	1847	27718
125	1863	27723
126	1879	27718
127	1894	27711
128	1913	27752
129	1930	27773
130	1947	27780
131	1964	27796
132	1977	27754
133	1996	27796
134	2007	27735
135	2023	27732
136	2038	27720
137	2053	27707
138	2070	27717
139	2091	27782
140	2105	27765
141	2119	27730
142	2134	27712
143	2147	27682
144	2161	27657
145	2176	27634
146	2190	27608
147	2203	27574
148	2216	27540
149	2231	27524
150	2247	27524
151	2261	27489
152	2274	27451
153	2287	27418
154	2300	27385
155	2312	27337
156	2328	27334
157	2342	27305
158	2355	27274
159	2368	27243
160	2381	27196
161	2392	27147
162	2405	27110
163	2417	27066
164	2430	27032
165	2442	26985
166	2454	26944
167	2472	26960
168	2487	26946
169	2499	26903
170	2512	26872
171	2524	26832
172	2537	26800
173	2551	26773
174	2566	26760
175	2579	26734
176	2593	26708
177	2608	26703
178	2620	26659
179	2632	26612
180	2643	26569
181	2656	26540
182	2669	26503
183	2680	26451
184	2692	26411
185	2704	26372
186	2715	26331
187	2731	26326
188	2744	26297
189	2758	26281
190	2775	26286
191	2792	26297
192	2809	26302
193	2825	26299
194	2845	26337
195	2861	26333
196	2879	26353
197	2897	26374
198	2914	26377
199	2930	26372
200	2948	26388
201	2967	26410
202	2983	26411
203	2998	26400
204	3014	26391
205	3029	26384
206	3042	26350
