date,day_of_week,school_visitors,public_visitors,total_visitors,extra,opening_hours
2016-01-01,pátek,0.0,0.0,0.0,,zavřeno
2016-01-02,sobota,0.0,943.0,943.0,,
2016-01-03,neděle,0.0,559.0,559.0,,
2016-01-04,pondělí,0.0,78.0,78.0,,
2016-01-05,úterý,91.0,94.0,185.0,,
2016-01-06,středa,0.0,124.0,124.0,,
2016-01-07,čtvrtek,42.0,69.0,111.0,,
2016-01-08,pátek,0.0,73.0,73.0,,
2016-01-09,sobota,0.0,861.0,861.0,,
2016-01-10,neděle,0.0,553.0,553.0,,
2016-01-11,pondělí,22.0,94.0,116.0,,
2016-01-12,úterý,171.0,150.0,321.0,,
2016-01-13,středa,25.0,122.0,147.0,,
2016-01-14,čtvrtek,54.0,103.0,157.0,,
2016-01-15,pátek,99.0,110.0,209.0,,
2016-01-16,sobota,0.0,661.0,661.0,,
2016-01-17,neděle,0.0,338.0,338.0,,
2016-01-18,pondělí,0.0,70.0,70.0,,
2016-01-19,úterý,81.0,109.0,190.0,,
2016-01-20,středa,105.0,131.0,236.0,,
2016-01-21,čtvrtek,98.0,182.0,280.0,,
2016-01-22,pátek,43.0,98.0,141.0,,
2016-01-23,sobota,11.0,452.0,463.0,,
2016-01-24,neděle,0.0,471.0,471.0,,
2016-01-25,pondělí,120.0,185.0,305.0,,
2016-01-26,úterý,173.0,110.0,283.0,,
2016-01-27,středa,142.0,123.0,265.0,,
2016-01-28,čtvrtek,34.0,287.0,321.0,,
2016-01-29,pátek,40.0,116.0,156.0,,
2016-01-30,sobota,0.0,488.0,488.0,,
2016-01-31,neděle,0.0,929.0,929.0,,
2016-02-01,pondělí,0.0,589.0,589.0,,
2016-02-02,úterý,178.0,745.0,923.0,,
2016-02-03,středa,86.0,798.0,884.0,,
2016-02-04,čtvrtek,0.0,783.0,783.0,,
2016-02-05,pátek,24.0,671.0,695.0,,
2016-02-06,sobota,0.0,1197.0,1197.0,,
2016-02-07,neděle,19.0,776.0,795.0,,
2016-02-08,pondělí,42.0,209.0,251.0,,
2016-02-09,úterý,76.0,251.0,327.0,,
2016-02-10,středa,20.0,314.0,334.0,,
2016-02-11,čtvrtek,83.0,305.0,388.0,,
2016-02-12,pátek,0.0,311.0,311.0,,
2016-02-13,sobota,2.0,1628.0,1630.0,,
2016-02-14,neděle,5.0,1184.0,1189.0,,
2016-02-15,pondělí,0.0,259.0,259.0,,
2016-02-16,úterý,83.0,371.0,454.0,,
2016-02-17,středa,44.0,309.0,353.0,,
